M;L;dataname;model;n_neighs;points;1-NN;T;C;status;dimensions;restricted;artificial_connected
PCA;default;mit-cbcl;mvu.based;6;2059;0.04954;0.966;0.995;Solved;7;None;None
PCA;default;mit-cbcl;mvu.based;7;2059;0.05488;0.959;0.994;Solved;7;None;None
PCA;default;mit-cbcl;mvu.based;8;2059;0.02525;0.978;0.997;Solved;11;None;None
PCA;default;mit-cbcl;mvu.based;9;2059;0.02428;0.989;0.997;Solved;9;None;None
PCA;default;mit-cbcl;mvu.based;10;2059;0.03011;0.989;0.997;Solved;12;None;None
PCA;default;mit-cbcl;mvu.based;11;2059;0.02331;0.986;0.997;Solved;7;None;None
PCA;default;mit-cbcl;mvu.based;12;2059;0.02331;0.986;0.997;Solved;7;None;None
PCA;default;mit-cbcl;mvu.based;13;2059;0.02525;0.989;0.997;Solved;8;None;None
PCA;default;mit-cbcl;mvu.based;14;2059;0.02137;0.991;0.998;Solved;11;None;None
PCA;default;mit-cbcl;mvu.based;15;2059;0.01943;0.991;0.998;Solved;10;None;None
PCA;k2;coil20;mvu.based;5;1440;0.07292;0.985;0.998;Solved;12;None;True
PCA;k2;coil20;mvu.based;6;1440;0.09583;0.987;0.998;Solved;12;None;True
PCA;k2;coil20;mvu.based;7;1440;0.06042;0.989;0.998;Solved;15;None;None
PCA;k2;coil20;mvu.based;8;1440;0.07986;0.983;0.998;Solved;11;None;None
PCA;k2;coil20;mvu.based;9;1440;0.11111;0.961;0.996;Solved;11;None;True
PCA;k2;coil20;mvu.based;10;1440;0.09722;0.973;0.997;Solved;10;None;True
PCA;k2;coil20;mvu.based;11;1440;0.11319;0.963;0.996;Solved;11;None;None
PCA;k2;coil20;mvu.based;12;1440;0.12222;0.967;0.995;Solved;12;None;True
PCA;k2;coil20;mvu.based;13;1440;0.13403;0.967;0.996;Solved;10;None;None
PCA;k2;coil20;mvu.based;14;1440;0.09375;0.967;0.996;Solved;10;None;None
PCA;k2;coil20;mvu.based;15;1440;0.03958;0.982;0.998;Solved;11;None;None
PCA;k2;mit-cbcl;mvu.based;5;2059;0.28315;0.883;0.991;Solved;5;None;True
PCA;k2;mit-cbcl;mvu.based;6;2059;0.05245;0.966;0.995;Solved;6;None;True
PCA;k2;mit-cbcl;mvu.based;7;2059;0.04614;0.955;0.995;Solved;11;None;True
PCA;k2;mit-cbcl;mvu.based;8;2059;0.05051;0.972;0.997;Solved;6;None;True
PCA;k2;mit-cbcl;mvu.based;9;2059;0.02671;0.987;0.998;Solved;9;None;True
PCA;k2;mit-cbcl;mvu.based;10;2059;0.03205;0.988;0.997;Solved;13;None;True
PCA;k2;mit-cbcl;mvu.based;11;2059;0.03157;0.984;0.997;Solved;6;None;None
